	Not changed		Changed		idle	612.1628821
#	pattern	pin	pattern	pin		
1	0.1	0	83.6	16.5		
2	0.2	0.1	74	12.2		
3	0	0	70.1	13.4		
4	0	0.1	73.2	12.2		
5	0.1	0	71.7	12.2		
6	0.1	0.1	73.7	12.1		
7	0	0	73.6	12		
8	0	0	71.8	12.6		
9	0	0.1	75.6	9.3		
10	0.1	0	70	8.8		
11	0	0	71.9	10.8		
12	0.1	0.1	76.6	10.9		
13	0	0	72.3	11.3		
14	0	0.1	74.5	11.6		
15	0.1	0	77.1	9.7		
16	0	0.1	82.8	10.5		
17	0.1	0.1	83.3	8		
18	0	0	84	10.6		
19	0	0.1	79.6	8.4		
20	0	0	77.5	9.6		
21	0.1	0.1	75.2	10.8		
22	0.1	0	72	9.4		
23	0	0.1	75.6	9.1		
24	0	0	71.3	7.8		
25	0	0	74	8.2		
26	0.1	0.1	70.6	7.8		
27	0	0.1	67	8.3		
28	0	0.1	72.5	9		
29	0.1	0	66.1	9.3		
30	0	0.1	76.7	9.4		
Ratio	0.007%	0.008%	10.862%	1.669%		
AVG	0.043	0.050	74.597	10.393		
STDEV	0.056	0.050	4.493	1.944		
